Titr,URL,title,Date,text_file
Air Canada and Sky Regional Ai,https://www.newswire.ca/news-releases/air-canada-and-sky-regional-airlines-conclude-10-year-extension-to-capacity-purchase-agreement-655858653.html,,,
Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canadas-top-100-employers-for-the-fifth-consecutive-year-655846223.html,,,
Air Canada Named Best Long Hau,https://www.newswire.ca/news-releases/air-canada-named-best-long-haul-airline-in-the-americas-654744583.html,,,
Air Canada Expands Acceptance ,https://www.newswire.ca/news-releases/air-canada-expands-acceptance-of-alternative-payments-for-international-transactions-to-support-global-growth-strategy-654416223.html,,,
Air Canada Establishes Automat,https://www.newswire.ca/news-releases/air-canada-establishes-automatic-share-purchase-plan-653563213.html,,,
Air Canada Reports Record Thir,https://www.newswire.ca/news-releases/air-canada-reports-record-third-quarter-2017-results-652989153.html,,,
B-ROLL ADVISORY: Air Canada an,https://www.newswire.ca/news-releases/b-roll-advisory-air-canada-announces-canadas-best-new-restaurants-2017-651851493.html,,,
Air Canada announces Canada's ,https://www.newswire.ca/news-releases/air-canada-announces-canadas-best-new-restaurants-2017-651720123.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-third-quarter-2017-results-650454663.html,,,
Air Canada partners with Amade,https://www.newswire.ca/news-releases/air-canada-partners-with-amadeus-to-support-international-network-and-improvements-to-customer-experience-649548693.html,,,
Air Canada's 2016 Corporate Su,https://www.newswire.ca/news-releases/air-canadas-2016-corporate-sustainability-report-affirms-commitment-to-responsible-business-practices-649038233.html,,,
Air Canada Expands its Global ,https://www.newswire.ca/news-releases/air-canada-expands-its-global-network-from-montreal-with-new-service-to-bucharest-romania-and-lisbon-portugal-648502553.html,,,
Air Canada Expands its Global ,https://www.newswire.ca/news-releases/air-canada-expands-its-global-network-with-new-and-enhanced-services-to-europe-south-america-and-africa-for-summer-2018-648502503.html,,,
/R E P E A T -- GlobalMedic & ,https://www.newswire.ca/news-releases/r-e-p-e-a-t----globalmedic--air-canada-supporting-mexico-earthquake-relief-with-hygiene-kits-and-clean-water-648169503.html,,,
GlobalMedic & Air Canada suppo,https://www.newswire.ca/news-releases/globalmedic--air-canada-supporting-mexico-earthquake-relief-with-hygiene-kits-and-clean-water-648064503.html,,,
Air Canada Unveils New Vancouv,https://www.newswire.ca/news-releases/air-canada-unveils-new-vancouver-international-maple-leaf-lounge-showcasing-bc-and-canadian-design-and-artwork-647954053.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-cibc-16th-annual-eastern-institutional-investor-conference-646527273.html,,,
Air Canada and AAR Conclude $5,https://www.newswire.ca/news-releases/air-canada-and-aar-conclude-500m-cad-agreement-for-airframe-maintenance-in-quebec-canada-645721363.html,,,
Air Canada Establishes New Tar,https://www.newswire.ca/news-releases/air-canada-establishes-new-targets-for-2018-2020-and-provides-update-on-its-loyalty-business-645642583.html,,,
Air Canada Provides Humanitari,https://www.newswire.ca/news-releases/air-canada-provides-humanitarian-relief-of-essential-supplies-to-regions-affected-by-hurricane-irma-645471113.html,,,
Air Canada Announces New Appoi,https://www.newswire.ca/news-releases/air-canada-announces-new-appointment-to-its-board-of-directors-644707993.html,,,
Air Canada Announces Appointme,https://www.newswire.ca/news-releases/air-canada-announces-appointment-of-catherine-dyer-as-chief-information-officer-644457073.html,,,
Air Canada Provides Further De,https://www.newswire.ca/news-releases/air-canada-provides-further-details-on-amendments-to-long-term-collective-agreement-with-pilots-644261673.html,,,
The Air Canada Foundation Help,https://www.newswire.ca/news-releases/the-air-canada-foundation-helps-conquer-sexual-exploitation-of-quebec-youth-644219353.html,,,
Air Canada Deepens Embrace of ,https://www.newswire.ca/news-releases/air-canada-deepens-embrace-of-the-emerald-isle-with-expanded-non-stop-services-to-ireland-from-toronto-and-montreal-644157843.html,,,
"Air Canada Concludes ""Win-Win""",https://www.newswire.ca/news-releases/air-canada-concludes-win-win-amendments-to-long-term-collective-agreement-with-pilots-644034743.html,,,
Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-hurricane-irma-644023873.html,,,
What's That Silver Plane in th,https://www.newswire.ca/news-releases/whats-that-silver-plane-in-the-air-air-canadas-lockheed-10-a-takes-to-the-skies-to-mark-the-airlines-80th-anniversary-643432793.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-host-2017-investor-day-on-september-19-in-toronto-642986433.html,,,
/R E P E A T -- Air Canada Ope,https://www.newswire.ca/news-releases/r-e-p-e-a-t----air-canada-operating-24-extra-flights-for-customers-impacted-by-hurricane-irma-642974063.html,,,
Air Canada Operating 24 Extra ,https://www.newswire.ca/news-releases/air-canada-operating-24-extra-flights-for-customers-impacted-by-hurricane-irma-642950693.html,,,
Air Canada To Launch New Inter,https://www.newswire.ca/news-releases/air-canada-to-launch-new-international-boeing-787-dreamliner-routes-from-vancouver-642379083.html,,,
Air Canada Introduces Montreal,https://www.newswire.ca/news-releases/air-canada-introduces-montreal-tokyo-non-stop-flights-641516593.html,,,
Update - Media Advisory - Air ,https://www.newswire.ca/news-releases/update---media-advisory---air-canada-to-make-major-montreal-announcement-641487963.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-make-major-montreal-announcement-641411393.html,,,
Air Canada announces the Longl,https://www.newswire.ca/news-releases/air-canada-announces-the-longlist-for-canadas-best-new-restaurants-2017-639383333.html,,,
Air Canada CEO Sells Block of ,https://www.newswire.ca/news-releases/air-canada-ceo-sells-block-of-shares-for-investment-diversification-estate-planning-and-charitable-giving-638592393.html,,,
Air Canada Reports Record Seco,https://www.newswire.ca/news-releases/air-canada-reports-record-second-quarter-2017-results-637818883.html,,,
Air Canada Adds Vancouver-Yell,https://www.newswire.ca/news-releases/air-canada-adds-vancouver-yellowknife-flights-for-winter-2017-636733433.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-second-quarter-2017-results-635214643.html,,,
Air Canada Named Winner in Fin,https://www.newswire.ca/news-releases/air-canada-named-winner-in-finance-for-the-2017-airline-strategy-awards-634045773.html,,,
Air Canada Foundation Raises M,https://www.newswire.ca/news-releases/air-canada-foundation-raises-more-than-1100000-net-to-help-canadian-childrens-charities-633881933.html,,,
Air Canada Sets Record for Pas,https://www.newswire.ca/news-releases/air-canada-sets-record-for-passengers-carried-632864313.html,,,
Air Canada Rouge Celebrates Fo,https://www.newswire.ca/news-releases/air-canada-rouge-celebrates-fourth-birthday-631949163.html,,,
Air Canada Celebrates the inau,https://www.newswire.ca/news-releases/air-canada-celebrates-the-inauguration-of-montreal-algiers-flights-631773723.html,,,
Air Canada to Inaugurate Toron,https://www.newswire.ca/news-releases/air-canada-to-inaugurate-toronto-mumbai-non-stop-service-631753133.html,,,
Air Canada Named one of the 50,https://www.newswire.ca/news-releases/air-canada-named-one-of-the-50-most-engaged-workplaces-in-north-america-for-second-consecutive-year-631093093.html,,,
Air Canada Celebrates First Mo,https://www.newswire.ca/news-releases/air-canada-celebrates-first-montreal-tel-aviv-flight-630137743.html,,,
Air Canada Launches Cool New S,https://www.newswire.ca/news-releases/air-canada-launches-cool-new-summer-destination-iceland-629881143.html,,,
Air Canada Named Best Airline ,https://www.newswire.ca/news-releases/air-canada-named-best-airline-in-north-america-by-skytrax-world-airline-awards-at-the-paris-air-show-629642213.html,,,
Air Canada inaugurates Daily M,https://www.newswire.ca/news-releases/air-canada-inaugurates-daily-montreal-washington-dulles-iad-flights-629395623.html,,,
Air Canada Proud to be a Signa,https://www.newswire.ca/news-releases/air-canada-proud-to-be-a-signature-sponsor-of-the-invictus-games-toronto-2017-628685883.html,,,
Air Canada Offers Summer #Trav,https://www.newswire.ca/news-releases/air-canada-offers-summer-traveltips-628140383.html,,,
Air Canada Inaugurates Montrea,https://www.newswire.ca/news-releases/air-canada-inaugurates-montreal-to-marseille-service-627432013.html,,,
Huan ying deng ji! Air Canada ,https://www.newswire.ca/news-releases/huan-ying-deng-ji-air-canada-inaugurates-daily-year-round-flights-from-vancouver-to-taipei-627290091.html,,,
Air Canada to Expand Services ,https://www.newswire.ca/news-releases/air-canada-to-expand-services-to-colombia-this-winter-627000951.html,,,
Air Canada Reprices U.S.$1.1 B,https://www.newswire.ca/news-releases/air-canada-reprices-us11-billion-credit-facility-625943303.html,,,
Air Canada is getting its summ,https://www.newswire.ca/news-releases/air-canada-is-getting-its-summer-off-to-an-early-start-with-11-new-international-services-625663194.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-national-bank-financial-7th-annual-quebec-conference-624616763.html,,,
Air Canada Renews Normal Cours,https://www.newswire.ca/news-releases/air-canada-renews-normal-course-issuer-bid-624591403.html,,,
"Air Canada Launches ""See: Cana",https://www.newswire.ca/news-releases/air-canada-launches-see-canada-in-celebration-of-the-countrys-150th-anniversary-623890053.html,,,
Air Canada Flights Now Located,https://www.newswire.ca/news-releases/air-canada-flights-now-located-at-los-angeles-airport-terminal-6-622830903.html,,,
Air Canada Comments on Propose,https://www.newswire.ca/news-releases/air-canada-comments-on-proposed-transportation-modernization-act-622586574.html,,,
Air Canada Working with Canadi,https://www.newswire.ca/news-releases/air-canada-working-with-canadian-red-cross-to-help-flooded-communities-in-quebec-and-across-canada-air-canada-foundation-to-make-50000-donation-to-flood-relief-appeals-622124623.html,,,
Air Canada To Offer High-Speed,https://www.newswire.ca/news-releases/air-canada-to-offer-high-speed-internet-on-air-canada-rouge-622089193.html,,,
Air Canada to Launch Its Own L,https://www.newswire.ca/news-releases/air-canada-to-launch-its-own-loyalty-program-in-2020-621967683.html,,,
Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-621663373.html,,,
Air Canada Reports First Quart,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-2017-results-621421703.html,,,
Air Canada Announces Montreal ,https://www.newswire.ca/news-releases/air-canada-announces-montreal---lima-service-its-first-non-stop-south-american-flights-from-montreal-621151863.html,,,
Air Canada Adds Six New Routes,https://www.newswire.ca/news-releases/air-canada-adds-six-new-routes-to-australia-south-america-caribbean-and-usa-621149553.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-first-quarter-2017-results-620095743.html,,,
Air Canada to Operate Biofuel ,https://www.newswire.ca/news-releases/air-canada-to-operate-biofuel-flights-in-support-of-environmental-research-on-contrails-and-emissions-620073143.html,,,
Air Canada Named One of Montre,https://www.newswire.ca/news-releases/air-canada-named-one-of-montreals-top-employers-for-the-fourth-consecutive-year-619986523.html,,,
Air Canada Proudly Supports Vi,https://www.newswire.ca/news-releases/air-canada-proudly-supports-vimy-flight-flypast-commemorating-the-battle-of-vimy-ridge-618720143.html,,,
Air Canada Announces Board Cha,https://www.newswire.ca/news-releases/air-canada-announces-board-chairman-david-i-richardson-retirement-appointment-of-vagn-sorensen-as-incoming-chairman-618682403.html,,,
More than $1.1 million raised ,https://www.newswire.ca/news-releases/more-than-11-million-raised-at-second-annual-wanderluxe-event-presented-by-air-canada-in-collaboration-with-td-bank-group-618672903.html,,,
Air Canada Announces Departure,https://www.newswire.ca/news-releases/air-canada-announces-departure-of-klaus-goersch-618017383.html,,,
Air Canada Named one of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canadas-top-diversity-employers-for-the-second-consecutive-year-617325383.html,,,
Air Canada Announces Renewal o,https://www.newswire.ca/news-releases/air-canada-announces-renewal-of-shareholder-rights-plan-617047994.html,,,
Air Canada Comments on Federal,https://www.newswire.ca/news-releases/air-canada-comments-on-federal-budget-616879574.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-desjardins-industrials-telecom--consumer-conference-616823874.html,,,
Air Canada Adds Daily Montreal,https://www.newswire.ca/news-releases/air-canada-adds-daily-montreal-washington-dulles-iad-flights-to-growing-transborder-network-616225114.html,,,
Air Canada Adds Daily Vancouve,https://www.newswire.ca/news-releases/air-canada-adds-daily-vancouver-boston-flights-to-growing-transborder-network-for-summer-2017-616225474.html,,,
The Sky's the Limit - Air Cana,https://www.newswire.ca/news-releases/the-skys-the-limit---air-canada-salutes-its-women-employees-on-international-womens-day-615696733.html,,,
Media advisory - Air Canada Pr,https://www.newswire.ca/news-releases/media-advisory---air-canada-president-and-chief-executive-officer-calin-rovinescu-to-present-at-the-jp-morgan-aviation-transportation--industrials-conference-615602073.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-cibc-industrials-conference-615322083.html,,,
Air Canada Reports 2016 Annual,https://www.newswire.ca/news-releases/air-canada-reports-2016-annual-results-614045054.html,,,
Air Canada Inaugurates First M,https://www.newswire.ca/news-releases/air-canada-inaugurates-first-montreal-shanghai-non-stop-flights-613959113.html,,,
Air Canada Increases Israel Se,https://www.newswire.ca/news-releases/air-canada-increases-israel-service-with-a-new-non-stop-route-from-montreal-and-daily-flights-from-toronto-613567703.html,,,
Air Canada Unveils New Livery ,https://www.newswire.ca/news-releases/air-canada-unveils-new-livery-inspired-by-canada-613305993.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-invites-media-to-meet-the-top-canadian-talents-helping-to-shape-the-future-of-canadas-flag-carrier-613259583.html,,,
Media Advisory - Air Canada In,https://www.newswire.ca/news-releases/media-advisory---air-canada-invites-media-to-meet-the-top-canadian-talents-helping-to-shape-the-future-of-canadas-flag-carrier-613028963.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-unveil-the-future-of-canadas-flag-carrier-at-events-in-toronto-montreal-and-vancouver-612679643.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-fourth-quarter-and-full-year-2016-results-612545133.html,,,
Air Canada Adds Iceland to Gro,https://www.newswire.ca/news-releases/air-canada-adds-iceland-to-growing-international-network-for-summer-2017-612391783.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-host-2017-investor-day-on-september-19-in-toronto-611965355.html,,,
Air Canada Receives Award for ,https://www.newswire.ca/news-releases/air-canada-receives-award-for-best-corporate-sustainability-report---transportation-from-the-finance-and-sustainability-initiative-611907515.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-altacorp-capital-5th-annual-institutional-investor-conference-610268695.html,,,
Air Canada Stock Outperforms a,https://www.newswire.ca/news-releases/air-canada-stock-outperforms-all-north-american-airline-peers-in-2016-609563155.html,,,
Air Canada and Cathay Pacific ,https://www.newswire.ca/news-releases/air-canada-and-cathay-pacific-to-introduce-codeshare-services-and-reciprocal-mileage-accrual-and-redemption-benefits-in-strategic-cooperation-607943726.html,,,
Air Canada Gives its Customers,https://www.newswire.ca/news-releases/air-canada-gives-its-customers-a-chance-to-pay-it-forward-with-free-flight-607936916.html,,,
Air Canada Inaugurates Twice-W,https://www.newswire.ca/news-releases/air-canada-inaugurates-twice-weekly-non-stop-service-between-montreal-and-san-jose-costa-rica-607916076.html,,,
Air Canada Announces Appointme,https://www.newswire.ca/news-releases/air-canada-announces-appointment-of-lucie-guillemette-as-chief-commercial-officer-607646666.html,,,
Air Canada Inaugurates Year-Ro,https://www.newswire.ca/news-releases/air-canada-inaugurates-year-round-service-between-toronto-and-port-of-spain-trinidad-607600966.html,,,
Air Canada Launches New Non-St,https://www.newswire.ca/news-releases/air-canada-launches-new-non-stop-service-between-montreal-and-san-juan-puerto-rico-607202626.html,,,
Air Canada Offers Winter #Trav,https://www.newswire.ca/news-releases/air-canada-offers-winter-traveltips-606782696.html,,,
Air Canada and Virgin Australi,https://www.newswire.ca/news-releases/air-canada-and-virgin-australia-to-introduce-codeshare-services-and-reciprocal-frequent-flyer-benefits-in-strategic-cooperation-606563026.html,,,
Andre De Grasse Voted Air Cana,https://www.newswire.ca/news-releases/andre-de-grasse-voted-air-canada-athlete-of-the-year-605432706.html,,,
Dallas Fort Worth Internationa,https://www.newswire.ca/news-releases/dallas-fort-worth-international-airport-says-bonjour-to-montreal-with-new-air-canada-service-605267396.html,,,
Air Canada Spices up its U.S. ,https://www.newswire.ca/news-releases/air-canada-spices-up-its-us-schedule-with-six-new-transborder-routes-for-2017-605224186.html,,,
Make Your Miles Count! Donate ,https://www.newswire.ca/news-releases/make-your-miles-count-donate-your-aeroplan-miles-to-the-air-canada-foundation-to-help-children-across-canada-605047506.html,,,
Air Canada Inaugurates New Int,https://www.newswire.ca/news-releases/air-canada-inaugurates-new-international-maple-leaf-lounge-at-montreal-trudeau-airport-showcasing-canadian-and-quebec-design-and-artwork-604037176.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-credit-suisse-4th-annual-industrials-conference-603979186.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-credit-suisse-4th-annual-industrials-conference-603620826.html,,,
Air Canada Launches Altitude S,https://www.newswire.ca/news-releases/air-canada-launches-altitude-skyriders-kids-club-makes-flying-an-adventure-for-children-aged-2-12-602650145.html,,,
Canadians Invited to Select th,https://www.newswire.ca/news-releases/canadians-invited-to-select-the-winner-of-the-air-canada-athlete-of-the-year-award-2016-602247845.html,,,
Air Canada to launch Vancouver,https://www.newswire.ca/news-releases/air-canada-to-launch-vancouver-frankfurt-and-vancouver-london-gatwick-flights-for-summer-2017-600534171.html,,,
Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canadas-top-100-employers-for-fourth-consecutive-year-600294981.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-to-present-third-quarter-2016-results-600226161.html,,,
Air Canada Reports Record Thir,https://www.newswire.ca/news-releases/air-canada-reports-record-third-quarter-2016-results-600226181.html,,,
Air Canada enRoute Film Festiv,https://www.newswire.ca/news-releases/air-canada-enroute-film-festival-reveals-10th-anniversary-festival-finalists-599665421.html,,,
Air Canada President and Chief,https://www.newswire.ca/news-releases/air-canada-president-and-chief-executive-officer-calin-rovinescu-named-canadas-outstanding-ceo-of-the-year-for-2016-599502451.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-third-quarter-2016-results-598402111.html,,,
Air Canada Inaugurates the Onl,https://www.newswire.ca/news-releases/air-canada-inaugurates-the-only-non-stop-flights-from-vancouver-to-india-ab-delhi-door-nahin-597832601.html,,,
Air Canada Notifies Customers ,https://www.newswire.ca/news-releases/air-canada-notifies-customers-of-ban-on-samsung-galaxy-note-7-597183171.html,,,
Air Canada's Newest Maple Leaf,https://www.newswire.ca/news-releases/air-canadas-newest-maple-leaf-lounge-opens-at-newark-airport-597081371.html,,,
Air Canada Completes C$1.25 Bi,https://www.newswire.ca/news-releases/air-canada-completes-c125-billion-refinancing-596157221.html,,,
Air Canada Adds Non-Stop Montr,https://www.newswire.ca/news-releases/air-canada-adds-non-stop-montreal-algiers-and-montreal-marseille-flights-starting-in-summer-2017-595069011.html,,,
Air Canada Announces Toronto-M,https://www.newswire.ca/news-releases/air-canada-announces-toronto-mumbai-787-dreamliner-service-595068451.html,,,
Air Canada Circles the World a,https://www.newswire.ca/news-releases/air-canada-circles-the-world-adding-six-new-destinations-to-its-expanding-international-network-595068141.html,,,
Air Canada Announces Pricing o,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-c125-billion-refinancing-594790041.html,,,
Air Canada to Launch Non-Stop ,https://www.newswire.ca/news-releases/air-canada-to-launch-non-stop-montreal-shanghai-flights-594553531.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-to-make-major-montreal-announcement-594546081.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-make-major-montreal-announcement-594457141.html,,,
Air Canada Begins Construction,https://www.newswire.ca/news-releases/air-canada-begins-construction-on-a-new-hangar-at-its-toronto-pearson-global-hub-594425131.html,,,
Media Advisory - Air Canada Gr,https://www.newswire.ca/news-releases/media-advisory---air-canada-ground-breaking-event-marks-start-of-construction-of-new-90-million-hangar-project-at-toronto-pearson-594168931.html,,,
Air Canada Supports Six Degree,https://www.newswire.ca/news-releases/air-canada-supports-six-degrees-inaugural-conference-in-toronto-594147481.html,,,
Air Canada Soars with Hockey's,https://www.newswire.ca/news-releases/air-canada-soars-with-hockeys-greatest-players-as-the-official-airline-of-the-world-cup-of-hockey-593728201.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-cibc-15th-annual-eastern-institutional-investor-conference-593571821.html,,,
Air Canada to Launch Non-Stop ,https://www.newswire.ca/news-releases/air-canada-to-launch-non-stop-flights-from-vancouver-to-dallas-fort-worth-592581861.html,,,
Air Canada Announces Condition,https://www.newswire.ca/news-releases/air-canada-announces-conditional-notices-of-redemption-for-all-of-its-outstanding-6750-senior-secured-notes-due-2019-7625-senior-secured-notes-due-2019-and-8750-senior-second-lien-notes-due-2020-subject-to-592485161.html,,,
Air Canada Proudly Brings Cana,https://www.newswire.ca/news-releases/air-canada-proudly-brings-canadas-olympic-athletes-home-590939371.html,,,
Air Canada Fastest Growing Bra,https://www.newswire.ca/news-releases/air-canada-fastest-growing-brand-among-canadas-largest-corporations-only-airline-among-canadas-top-50-brands-588919681.html,,,
OTC Markets Group Welcomes Air,https://www.newswire.ca/news-releases/otc-markets-group-welcomes-air-canada-to-otcqx-588636791.html,,,
Air Canada Reports Second Quar,https://www.newswire.ca/news-releases/air-canada-reports-second-quarter-2016-results-588633261.html,,,
Air Canada to Commence Trading,https://www.newswire.ca/news-releases/air-canada-to-commence-trading-on-the-otcqx-market-in-the-united-states-588524651.html,,,
Air Canada Signs Agreements wi,https://www.newswire.ca/news-releases/air-canada-signs-agreements-with-partners-to-help-establish-centre-of-excellence-for-aircraft-maintenance-in-manitoba-587772861.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-second-quarter-2016-results-587276741.html,,,
"Over $1,000,000 Raised by Air ",https://www.newswire.ca/news-releases/over-1000000-raised-by-air-canada-foundation-destined-to-help-canadian-childrens-charities-586494421.html,,,
Air Canada Rouge Rings in Thir,https://www.newswire.ca/news-releases/air-canada-rouge-rings-in-third-birthday-585015131.html,,,
Air Canada enRoute Film Festiv,https://www.newswire.ca/news-releases/air-canada-enroute-film-festival-celebrates-10th-anniversary-with-coast-to-coast-events-finalists-to-be-announced-at-vancouver-screening-event-584686811.html,,,
Air Canada and Bombardier Fina,https://www.newswire.ca/news-releases/air-canada-and-bombardier-finalize-landmark-c-series-order-for-up-to-75-aircraft---agreement-includes-firm-order-for-45-cs300-and-options-for-an-additional-30-584684531.html,,,
Air Canada's 2015 Corporate Su,https://www.newswire.ca/news-releases/air-canadas-2015-corporate-sustainability-report-demonstrates-market-leadership-584133191.html,,,
Air Canada Resumes the Only No,https://www.newswire.ca/news-releases/air-canada-resumes-the-only-non-stop-flights-between-abbotsford-and-toronto-584109581.html,,,
Air Canada Welcomes Modernizat,https://www.newswire.ca/news-releases/air-canada-welcomes-modernization-of-air-canada-public-participation-act-584100851.html,,,
Air Canada 2016 Summer #Travel,https://www.newswire.ca/news-releases/air-canada-2016-summer-traveltips-583764291.html,,,
Air Canada Launches 10 New Int,https://www.newswire.ca/news-releases/air-canada-launches-10-new-international-routes-in-one-month---toronto-seoul-inaugural-extends-recent-global-expansion-to-four-continents-583441151.html,,,
Air Canada Expands 787 Dreamli,https://www.newswire.ca/news-releases/air-canada-expands-787-dreamliner-service-to-vancouver-newark-featuring-business-class---transcontinental-583426411.html,,,
Air Canada Launches Montreal-L,https://www.newswire.ca/news-releases/air-canada-launches-montreal-lyon-non-stop-service-583387101.html,,,
Air Canada Inaugurates Toronto,https://www.newswire.ca/news-releases/air-canada-inaugurates-toronto-warsaw-service-583083751.html,,,
Air Canada Recognized for Work,https://www.newswire.ca/news-releases/air-canada-recognized-for-workplace-engagement-582927941.html,,,
Long term Labour Agreements in,https://www.newswire.ca/news-releases/long-term-labour-agreements-in-place-with-all-air-canada-unions-in-canada-582925951.html,,,
Air Canada Inaugurates Toronto,https://www.newswire.ca/news-releases/air-canada-inaugurates-toronto-glasgow-service---new-route-extends-air-canada-rouges-summer-european-expansion-582917721.html,,,
Air Canada Inaugurates Toronto,https://www.newswire.ca/news-releases/air-canada-inaugurates-toronto-budapest-service---new-route-extends-air-canada-rouges-summer-expansion-in-central-europe-582564801.html,,,
Céad mile fáilte! Air Canada I,https://www.newswire.ca/news-releases/cead-mile-failte-air-canada-inaugurates-new-non-stop-vancouver---dublin-flights-582535191.html,,,
Air Canada Resumes Fort McMurr,https://www.newswire.ca/news-releases/air-canada-resumes-fort-mcmurray-flights-from-toronto-calgary-edmonton-vancouver-582487731.html,,,
Air Canada Cargo and Cargojet ,https://www.newswire.ca/news-releases/air-canada-cargo-and-cargojet-successfully-launch-first-freighter-flight-to-south-america-582464411.html,,,
Air Canada's Support of Biling,https://www.newswire.ca/news-releases/air-canadas-support-of-bilingualism-shows-positive-results---commissioner-of-official-languages-report-tells-only-part-of-the-story-582110111.html,,,
Air Canada Customers Highly Sa,https://www.newswire.ca/news-releases/air-canada-customers-highly-satisfied-with-bilingual-service-delivery-581973451.html,,,
Air Canada's New Service from ,https://www.newswire.ca/news-releases/air-canadas-new-service-from-montreal-to-casablanca-takes-off-581856731.html,,,
G'Day Brisbane; Air Canada Ina,https://www.newswire.ca/news-releases/gday-brisbane-air-canada-inaugurates-the-only-non-stop-flights-from-vancouver-581710691.html,,,
"Air Canada Launches ""Test Driv",https://www.newswire.ca/news-releases/air-canada-launches-test-drive-canada-581672451.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-2016-quebec-annual-conference---hosted-by-national-bank-financial-markets-581315441.html,,,
Air Canada Inaugurates Toronto,https://www.newswire.ca/news-releases/air-canada-inaugurates-toronto-prague-service-581281911.html,,,
Air Canada Flies 300 Firefight,https://www.newswire.ca/news-releases/air-canada-flies-300-firefighters-from-johannesburg-south-africa-to-assist-with-alberta-wild-fire-581253461.html,,,
Air Canada Inaugurates Toronto,https://www.newswire.ca/news-releases/air-canada-inaugurates-toronto-to-london-gatwick-service-580232861.html,,,
Air Canada Renews Normal Cours,https://www.newswire.ca/news-releases/air-canada-renews-normal-course-issuer-bid-580167161.html,,,
/R E P E A T -- The 2016 Air C,https://www.newswire.ca/news-releases/r-e-p-e-a-t----the-2016-air-canada-enroute-film-festival-seeks-soaring-talent-as-festival-marks-10th-anniversary---call-for-entries-579641371.html,,,
Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-579044291.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-bank-of-america-merrill-lynch-2016-transportation-conference-579017871.html,,,
